Society,Year,Type_of_Society,Time_Type,Military_Status,Population,Overall_War_Group_Size_W,X_(W),LNP,LNW,W.P,X (W),
Uzbekistan,2014,State,Contemporary,0,31022500,68000,0.776035669,17.25022331,11.12726298,0.0022,0.776035669,0.781698877
Venezuela,2014,State,Contemporary,0,30620404,123000,0.811006647,17.23717714,11.71993963,0.004,0.811006647,0.815556093
Zambia,2014,State,Contemporary,0,15473905,19500,0.733188796,16.55466561,9.878169745,0.0013,0.733188796,0.751989318
Zimbabwe,2014,State,Contemporary,0,13061239,50800,0.799209626,16.38515955,10.83565163,0.0039,0.799209626,0.8137159
Afghanistan,2014,State,Contemporary,1,27101365,331100,0.874649053,17.11509465,12.71017572,0.0122,0.874649053,0.881594775
Albania,2014,State,Contemporary,1,2893005,19750,0.816681849,14.87780631,9.89090877,0.0068,0.816681849,0.846401651
Algeria,2014,State,Contemporary,1,39500000,423500,0.869883295,17.49181123,12.95630879,0.0107,0.869883295,0.873572971
Angola,2014,State,Contemporary,1,24383301,117000,0.81892644,17.00940907,11.66992921,0.0048,0.81892644,0.825767492
Armenia,2014,State,Contemporary,1,3006800,261432,0.987736182,14.91638695,12.47392949,0.0869,0.987736182,1.011414185
Austria,2014,State,Contemporary,1,8602112,49800,0.818868381,15.96751831,10.81577026,0.0058,0.818868381,0.836690704
Azerbaijan,2014,State,Contemporary,1,9636300,381950,0.939775244,16.08104778,12.85304499,0.0396,0.939775244,0.957299827
Bahrain,2014,State,Contemporary,1,1316500,19460,0.86126489,14.09048726,9.876116356,0.0148,0.86126489,0.893432578
Bangladesh,2014,State,Contemporary,1,158763000,2753000,0.904930201,18.88292308,14.82820178,0.0173,0.904930201,0.903473107
Belarus,2014,State,Contemporary,1,9481000,461500,0.952502527,16.06480035,13.04223733,0.0487,0.952502527,0.971166013
Brazil,2014,State,Contemporary,1,204676000,2053480,0.877599717,19.1369388,14.53504647,0.01,0.877599717,0.869522639
Brunei,2014,State,Contemporary,1,393372,9950,0.889954872,12.88251101,9.20532783,0.0253,0.889954872,0.927668097
Burma,2014,State,Contemporary,1,54164000,478000,0.861258926,17.80752704,13.07736601,0.0088,0.861258926,0.86175031
Central African Republic,2014,State,Contemporary,1,4803000,3150,0.670448495,15.38475128,8.055157732,0.0007,0.670448495,0.718384741
Chad,2014,State,Contemporary,1,13606000,34850,0.774279644,16.42602143,10.45880842,0.0026,0.774279644,0.790267839
China,2014,State,Contemporary,1,1371230000,6927000,0.856052343,21.03897398,15.75093738,0.0051,0.856052343,0.828746463
Colombia,2014,State,Contemporary,1,48237500,1427448,0.92873909,17.69164728,14.17139879,0.0296,0.92873909,0.937915108
Croatia,2014,State,Contemporary,1,4267558,40550,0.843007405,15.26655232,10.61029106,0.0095,0.843007405,0.866219677
Cuba,2014,State,Contemporary,1,11238317,114500,0.856667266,16.23483966,11.6483301,0.0102,0.856667266,0.870459441
Cyprus,2014,State,Contemporary,1,858000,62750,0.973948869,13.66235938,11.04691386,0.0731,0.973948869,0.999240659
Democratic People's Republic of Korea,2014,State,Contemporary,1,25155000,7679000,1.062964937,17.04056724,15.85399989,0.3053,1.062964937,1.104355428
Democratic Republic of Afghanistan,2014,State,Contemporary,1,13000000,55000,0.80428841,16.38045992,10.91508846,0.0042,0.80428841,0.818522455
Democratic Republic of the Congo,2014,State,Contemporary,1,71246000,145400,0.782382694,18.08164924,11.88724384,0.002,0.782382694,0.777799242
Denmark,2014,State,Contemporary,1,5668743,82986,0.87366786,15.55047796,11.3264272,0.0146,0.87366786,0.8928274
Djibouti,2014,State,Contemporary,1,900000,33696,0.92520213,13.71015004,10.42513441,0.0374,0.92520213,0.953486953
Egypt,2014,State,Contemporary,1,89217300,1314500,0.893038874,18.30658552,14.08896692,0.0147,0.893038874,0.89322949
